,组合,指数
2010-07-16,0.00451594529817978,0.0059
2010-07-19,0.02667864863343361,0.02259
2010-07-20,0.02610360156213498,0.028380000000000002
2010-07-21,0.002857015508320293,0.002042
2010-07-22,0.011665752775505966,0.014759
2010-07-23,0.002441032835827306,-0.000597
2010-07-26,0.010962569141444556,0.013852999999999999
2010-07-27,-0.005176316019329441,-0.000548
2010-07-28,0.023113206245236606,0.022969
2010-07-29,0.00420599129602639,0.007621
2010-07-30,-0.001050213300356261,-0.0006940000000000001
2010-08-02,0.019127624272309077,0.018316
2010-08-03,-0.01633641068561198,-0.017398
2010-08-04,0.0064419518015683686,0.012966
2010-08-05,-0.000551695462296275,0.004694
2010-08-06,0.02096809214848716,0.020632
2010-08-09,0.011210461189519627,0.013212999999999999
2010-08-10,-0.035544696387599724,-0.037862
2010-08-11,0.013307136666024455,0.012115
2010-08-12,-0.010393132012607609,-0.013102
2010-08-13,0.017581723404195282,0.019205
2010-08-16,0.023106823903728868,0.023193000000000002
2010-08-17,0.010784977700916576,0.007787
2010-08-18,0.000422316839993275,-0.000142
2010-08-19,0.001138389495883629,0.000978
2010-08-20,-0.025252180591108786,-0.021267
2010-08-23,0.005892228429387192,0.008729
2010-08-24,0.010747392636405673,0.011755
2010-08-25,-0.019835435671104015,-0.019790000000000002
2010-08-26,0.009095949770953736,0.007092
2010-08-27,0.00705245548527933,0.00731
2010-08-30,0.024234540356537382,0.027436
2010-08-31,0.002071331696128941,0.007965
2010-09-01,-0.009478284836482942,-0.012868999999999998
2010-09-02,0.019453018402463277,0.021006999999999998
2010-09-03,0.003609595175181335,0.008121
2010-09-06,0.007629349145786168,-0.0023580000000000003
2010-09-07,0.003385902855052025,0.006014
2010-09-08,0.001613716789989672,0.00864
2010-09-09,-0.017251813568505806,-0.013212
2010-09-10,0.008507728915018609,0.010155
2010-09-13,0.01476186880880137,0.017934000000000002
2010-09-14,0.001146784371244935,0.003283
2010-09-15,-0.012798401397715152,-0.015664
2010-09-16,-0.024680056944585305,-0.025206
2010-09-17,-0.0026204235684207378,-0.001611
2010-09-20,-0.007526583084875749,-0.010941000000000001
2010-09-21,-4.7746129405720004e-06,-0.0014050000000000002
2010-09-27,0.02116297350838781,0.027905000000000003
2010-09-28,-0.009748098035560426,-0.0041199999999999995
2010-09-29,-0.006310258632004406,-0.013756999999999998
2010-09-30,0.01637033858374215,0.015312
2010-10-08,0.03051361763712257,0.023035999999999997
2010-10-11,0.015301352874469432,0.004444
2010-10-12,0.011928051383172544,0.003523
2010-10-13,0.014033282938145986,0.006389000000000001
2010-10-14,-0.015598075067068673,-0.032499
2010-10-15,0.007817948759866855,0.002543
2010-10-18,-0.008663023177625462,-0.011682999999999999
2010-10-19,0.02667962508491395,0.030619
2010-10-20,0.001811798551994536,0.0032619999999999997
2010-10-21,0.003720732111580194,0.008261
2010-10-22,0.006170793664996621,0.009129
2010-10-25,0.030539282095733755,0.024718
2010-10-26,0.004661376792092442,0.009532
2010-10-27,-0.013872298840494568,-0.010181
2010-10-28,0.000370582375934569,0.000964
2010-10-29,0.00836193013064812,0.011181000000000002
2010-11-01,0.03073676006380044,0.02849
2010-11-02,-0.00872052656236022,-0.005089
2010-11-03,-0.01921562069633376,-0.014407000000000001
2010-11-04,0.02183059342188476,0.02545
2010-11-05,0.020876685293898637,0.015966
2010-11-08,0.022765274087348075,0.022463999999999998
2010-11-09,0.0059192431735992646,0.0067659999999999994
2010-11-10,0.000144468328987068,0.003091
2010-11-11,-0.010292209260120422,-0.008139
2010-11-12,-0.0616238842003315,-0.06046
2010-11-15,0.03263731934664338,0.028189000000000002
2010-11-16,-0.029070534393410674,-0.035546
2010-11-17,-0.030653350186097605,-0.04194899999999999
